time,calanoids,rotifers,nanophytoplankton,picophytoplankton
1058.6,0.66477,0.2635,0.26473,0.58792
1061.95,0.57104,0,0.25637,0.68066
1065.3,0.84517,0.0606,0.37902,0.35229
1068.65,0.87407,0.18718,0.33233,0.36247
1072,0.89544,0.20371,0.3006,0.37824
1075.35,0.91463,0.13625,0.32964,0.39798
1078.7,1.02533,0.28091,0.12423,0.62682
1082.05,1.09324,0.24361,0.32729,0.72127
1085.4,1.11621,0.32318,0.49364,0.81845
1088.75,1.17073,0.5222,0.23902,0.99154
1092.1,1.18178,0.74479,0.17199,1.01896
1095.45,1.09511,0.91062,0.15196,1.00932
1098.8,0.89124,0.9133,0.7719,0.57201
1102.15,0.95428,1.14232,0.47223,0.31581
1105.5,0.75601,0.90269,0.28572,0.23924
1108.85,0.58298,0.72286,0.22492,0.13866
1112.2,0.46972,0.44746,0.27372,0.16136
1115.55,0.56771,0.5387,0.30328,0.19727
1118.9,0.79052,0.55162,0.3432,0.24296
1122.25,0.75232,0.54125,0.31229,0.32927
1125.6,0.7418,0.5184,0.28584,0.30777
1128.95,0.95298,0.53343,0.29682,0.48379
1132.3,0.97492,0.51079,0.32292,0.53141
1135.65,0.88004,0.40503,0.32489,0.33602
1139,0.84353,0.43483,0.25217,0.31708
1142.35,0.59276,0.3877,0.39912,0.63746
1145.7,0.68907,0.59004,0.51203,0.80023
1149.05,0.95802,0.64689,0.1559,0.65535
1152.4,1.04016,0.65158,0.24063,0.46275
1155.75,1.00511,0.60405,0.16918,0.40688
1159.1,0.98785,0.51448,0.15509,0.35989
1162.45,1.00359,0.43772,0.40802,0.35336
1165.8,0.88385,0.39159,0.25741,0.35261
1169.15,0.92308,0.20383,0.24976,0.33093
1172.5,0.8488,0.07414,0.25091,0.22979
1175.85,0.78695,0,0.34759,0.59136
1179.2,0.67501,0,0.54118,0.59269
1182.55,0.62139,0,1.16856,0.75067
1185.9,0.81921,0.1973,0.7795,0.56476
1189.25,0.89354,0.20767,0.23988,0.68327
1192.6,0.93936,0.22867,0.19359,0.60209
1195.95,0.95235,0.28513,0.3146,0.32802
1199.3,1.03324,0.62935,0.29068,0.91398
1202.65,1.00844,0.90333,0.24515,1.33335
1206,0.80276,1.25977,0,0.99989
1209.35,0.9142,1.47135,0.13297,0.26126
1212.7,0.78896,1.43354,0.20311,0
1216.05,0.52761,1.09694,0.21166,0
1219.4,0.39871,0.88166,0.19209,0.28356
1222.75,0.39673,0.8138,0.22281,0.37303
1226.1,0.5509,0.8728,0.35267,0
1229.45,0.63329,0.85834,0.22718,0
1232.8,0.84016,0.77049,0.51734,0
1236.15,0.89505,0.71367,0.70375,0
1239.5,0.87448,0.6613,0.17978,0
1242.85,1.1651,0.54514,0.24638,0
1246.2,0.9367,0.55732,0.41903,0.08353
1249.55,0.98536,0.66212,0.18173,0.2837
